gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,,Maths - Reading Calc,,x.bar is average,,180817,229689,212957,,
male,group C,bachelor's degree,standard,none,83,78,73,,65,70,-1.1,0.9,-0.99,1.21,0.81,,
female,group C,some high school,standard,completed,85,92,93,,88,85,21.9,15.9,348.21,479.61,252.81,,
female,group E,high school,standard,completed,59,63,75,,83,78,16.9,8.9,150.41,285.61,79.21,,
female,group C,some high school,free/reduced,none,65,86,80,,85,92,18.9,22.9,432.81,357.21,524.41,,
male,group B,bachelor's degree,free/reduced,none,73,56,57,,59,63,-7.1,-6.1,43.31,50.41,37.21,,
male,group D,high school,standard,none,53,52,42,,65,86,-1.1,16.9,-18.59,1.21,285.61,,
male,group D,high school,standard,none,45,48,46,,73,56,6.9,-13.1,-90.39,47.61,171.61,,
female,group D,bachelor's degree,free/reduced,none,73,79,84,,53,52,-13.1,-17.1,224.01,171.61,292.41,,
female,group D,some college,free/reduced,completed,70,78,78,,45,48,-21.1,-21.1,445.21,445.21,445.21,,
female,group B,some high school,standard,none,37,46,46,,73,79,6.9,9.9,68.31,47.61,98.01,,
male,group B,associate's degree,standard,completed,81,82,82,,70,78,3.9,8.9,34.71,15.21,79.21,,
male,group E,associate's degree,standard,completed,97,82,88,,37,46,-29.1,-23.1,672.21,846.81,533.61,,
female,group B,some high school,standard,none,67,89,82,,81,82,14.9,12.9,192.21,222.01,166.41,,
male,group B,bachelor's degree,free/reduced,none,88,75,76,,97,82,30.9,12.9,398.61,954.81,166.41,,
male,group E,some high school,standard,completed,77,76,77,,67,89,0.9,19.9,17.91,0.81,396.01,,
male,group C,associate's degree,standard,none,76,70,68,,88,75,21.9,5.9,129.21,479.61,34.81,,
male,group D,some high school,standard,none,86,73,70,,77,76,10.9,6.9,75.21,118.81,47.61,,
male,group C,some high school,standard,completed,63,60,57,,76,70,9.9,0.9,8.91,98.01,0.81,,
female,group E,bachelor's degree,standard,none,65,73,75,,86,73,19.9,3.9,77.61,396.01,15.21,,
male,group D,high school,free/reduced,completed,78,77,80,,63,60,-3.1,-9.1,28.21,9.61,82.81,,
male,group B,associate's degree,free/reduced,none,67,62,60,,65,73,-1.1,3.9,-4.29,1.21,15.21,,
male,group A,some high school,standard,completed,46,41,43,,78,77,11.9,7.9,94.01,141.61,62.41,,
male,group E,associate's degree,standard,completed,71,74,68,,67,62,0.9,-7.1,-6.39,0.81,50.41,,
male,group C,high school,free/reduced,completed,40,46,50,,46,41,-20.1,-28.1,564.81,404.01,789.61,,
male,group D,associate's degree,free/reduced,none,90,87,75,,71,74,4.9,4.9,24.01,24.01,24.01,,
male,group A,some college,free/reduced,completed,81,78,81,,40,46,-26.1,-23.1,602.91,681.21,533.61,,
male,group D,some high school,free/reduced,none,56,54,52,,90,87,23.9,17.9,427.81,571.21,320.41,,
female,group C,associate's degree,standard,completed,67,84,81,,81,78,14.9,8.9,132.61,222.01,79.21,,
male,group B,associate's degree,standard,none,80,76,64,,56,54,-10.1,-15.1,152.51,102.01,228.01,,
female,group C,associate's degree,standard,completed,74,75,83,,67,84,0.9,14.9,13.41,0.81,222.01,,
male,group A,some college,standard,none,69,67,69,,80,76,13.9,6.9,95.91,193.21,47.61,,
male,group E,some college,standard,completed,99,87,81,,74,75,7.9,5.9,46.61,62.41,34.81,,
male,group C,some high school,standard,none,51,52,44,,69,67,2.9,-2.1,-6.09,8.41,4.41,,
female,group B,associate's degree,free/reduced,none,53,71,67,,99,87,32.9,17.9,588.91,1082.41,320.41,,
female,group D,high school,free/reduced,none,49,57,52,,51,52,-15.1,-17.1,258.21,228.01,292.41,,
female,group B,associate's degree,standard,none,73,76,80,,53,71,-13.1,1.9,-24.89,171.61,3.61,,
male,group B,bachelor's degree,standard,none,66,60,57,,49,57,-17.1,-12.1,206.91,292.41,146.41,,
male,group D,bachelor's degree,standard,completed,67,61,68,,73,76,6.9,6.9,47.61,47.61,47.61,,
female,group C,associate's degree,free/reduced,completed,68,67,69,,66,60,-0.1,-9.1,0.91,0.01,82.81,,
female,group C,bachelor's degree,standard,completed,59,64,75,,67,61,0.9,-8.1,-7.29,0.81,65.61,,
male,group C,high school,standard,none,71,66,65,,68,67,1.9,-2.1,-3.99,3.61,4.41,,
female,group D,master's degree,standard,completed,77,82,91,,59,64,-7.1,-5.1,36.21,50.41,26.01,,
male,group C,associate's degree,standard,none,83,72,78,,71,66,4.9,-3.1,-15.19,24.01,9.61,,
male,group B,bachelor's degree,standard,none,63,71,69,,77,82,10.9,12.9,140.61,118.81,166.41,,
female,group D,associate's degree,free/reduced,none,56,65,63,,83,72,16.9,2.9,49.01,285.61,8.41,,
female,group C,high school,free/reduced,completed,67,79,84,,63,71,-3.1,1.9,-5.89,9.61,3.61,,
female,group E,high school,standard,none,75,86,79,,56,65,-10.1,-4.1,41.41,102.01,16.81,,
female,group C,some college,standard,none,71,81,80,,67,79,0.9,9.9,8.91,0.81,98.01,,
female,group C,some high school,free/reduced,none,43,53,53,,75,86,8.9,16.9,150.41,79.21,285.61,,
female,group C,high school,free/reduced,none,41,46,43,,71,81,4.9,11.9,58.31,24.01,141.61,,
female,group C,some college,standard,none,82,90,94,,43,53,-23.1,-16.1,371.91,533.61,259.21,,
male,group C,some college,standard,none,61,61,62,,41,46,-25.1,-23.1,579.81,630.01,533.61,,
male,group A,some college,free/reduced,none,28,23,19,,82,90,15.9,20.9,332.31,252.81,436.81,,
male,group C,associate's degree,standard,completed,82,75,77,,61,61,-5.1,-8.1,41.31,26.01,65.61,,
female,group B,some high school,standard,none,41,55,51,,28,23,-38.1,-46.1,1756.41,1451.61,2125.21,,
male,group C,high school,standard,none,71,60,61,,82,75,15.9,5.9,93.81,252.81,34.81,,
male,group C,associate's degree,standard,none,47,37,35,,41,55,-25.1,-14.1,353.91,630.01,198.81,,
male,group E,associate's degree,standard,completed,62,56,53,,71,60,4.9,-9.1,-44.59,24.01,82.81,,
male,group B,associate's degree,standard,none,90,78,81,,47,37,-19.1,-32.1,613.11,364.81,1030.41,,
female,group C,bachelor's degree,standard,none,83,93,95,,62,56,-4.1,-13.1,53.71,16.81,171.61,,
female,group B,some college,free/reduced,none,61,68,66,,90,78,23.9,8.9,212.71,571.21,79.21,,
male,group D,some high school,standard,completed,76,70,69,,83,93,16.9,23.9,403.91,285.61,571.21,,
male,group C,associate's degree,standard,none,49,51,43,,61,68,-5.1,-1.1,5.61,26.01,1.21,,
female,group B,some high school,free/reduced,none,24,38,27,,76,70,9.9,0.9,8.91,98.01,0.81,,
female,group D,some high school,free/reduced,completed,35,55,60,,49,51,-17.1,-18.1,309.51,292.41,327.61,,
male,group C,high school,free/reduced,none,58,61,52,,24,38,-42.1,-31.1,1309.31,1772.41,967.21,,
female,group C,high school,standard,none,61,73,63,,35,55,-31.1,-14.1,438.51,967.21,198.81,,
female,group B,high school,standard,completed,69,76,74,,58,61,-8.1,-8.1,65.61,65.61,65.61,,
male,group D,associate's degree,standard,completed,67,72,67,,61,73,-5.1,3.9,-19.89,26.01,15.21,,
male,group D,some college,standard,none,79,73,67,,69,76,2.9,6.9,20.01,8.41,47.61,,
female,group C,high school,standard,none,72,80,75,,67,72,0.9,2.9,2.61,0.81,8.41,,
male,group B,some college,standard,none,62,61,57,,79,73,12.9,3.9,50.31,166.41,15.21,,
female,group C,bachelor's degree,standard,completed,77,94,95,,72,80,5.9,10.9,64.31,34.81,118.81,,
male,group D,high school,free/reduced,none,75,74,66,,62,61,-4.1,-8.1,33.21,16.81,65.61,,
male,group E,associate's degree,standard,none,87,74,76,,77,94,10.9,24.9,271.41,118.81,620.01,,
female,group B,bachelor's degree,standard,none,52,65,69,,75,74,8.9,4.9,43.61,79.21,24.01,,
male,group E,some college,standard,none,66,57,52,,87,74,20.9,4.9,102.41,436.81,24.01,,
female,group C,some college,standard,completed,63,78,80,,52,65,-14.1,-4.1,57.81,198.81,16.81,,
female,group C,associate's degree,standard,none,46,58,57,,66,57,-0.1,-12.1,1.21,0.01,146.41,,
female,group C,some college,standard,none,59,71,70,,63,78,-3.1,8.9,-27.59,9.61,79.21,,
female,group B,bachelor's degree,standard,none,61,72,70,,46,58,-20.1,-11.1,223.11,404.01,123.21,,
male,group A,associate's degree,standard,none,63,61,61,,59,71,-7.1,1.9,-13.49,50.41,3.61,,
female,group C,some college,free/reduced,completed,42,66,69,,61,72,-5.1,2.9,-14.79,26.01,8.41,,
male,group D,some college,free/reduced,none,59,62,61,,63,61,-3.1,-8.1,25.11,9.61,65.61,,
female,group D,some college,standard,none,80,90,89,,42,66,-24.1,-3.1,74.71,580.81,9.61,,
female,group B,high school,standard,none,58,62,59,,59,62,-7.1,-7.1,50.41,50.41,50.41,,
male,group B,some high school,standard,completed,85,84,78,,80,90,13.9,20.9,290.51,193.21,436.81,,
female,group C,some college,standard,none,52,58,58,,58,62,-8.1,-7.1,57.51,65.61,50.41,,
female,group D,some high school,free/reduced,none,27,34,32,,85,84,18.9,14.9,281.61,357.21,222.01,,
male,group C,some college,standard,none,59,60,58,,52,58,-14.1,-11.1,156.51,198.81,123.21,,
male,group A,bachelor's degree,free/reduced,completed,49,58,60,,27,34,-39.1,-35.1,1372.41,1528.81,1232.01,,
male,group C,high school,standard,completed,69,58,53,,59,60,-7.1,-9.1,64.61,50.41,82.81,,
male,group C,bachelor's degree,free/reduced,none,61,66,61,,49,58,-17.1,-11.1,189.81,292.41,123.21,,
female,group A,some high school,free/reduced,none,44,64,58,,69,58,2.9,-11.1,-32.19,8.41,123.21,,
female,group D,some high school,standard,none,73,84,85,,61,66,-5.1,-3.1,15.81,26.01,9.61,,
male,group E,some college,standard,none,84,77,71,,44,64,-22.1,-5.1,112.71,488.41,26.01,,
female,group C,some college,free/reduced,completed,45,73,70,,73,84,6.9,14.9,102.81,47.61,222.01,,
male,group D,some high school,standard,none,74,74,72,,84,77,17.9,7.9,141.41,320.41,62.41,,
female,group D,some college,standard,completed,82,97,96,,45,73,-21.1,3.9,-82.29,445.21,15.21,,
female,group D,bachelor's degree,standard,none,59,70,73,,74,74,7.9,4.9,38.71,62.41,24.01,,
male,group E,associate's degree,free/reduced,none,46,43,41,,82,97,15.9,27.9,443.61,252.81,778.41,,
female,group D,some high school,standard,none,80,90,82,,59,70,-7.1,0.9,-6.39,50.41,0.81,,
female,group D,master's degree,free/reduced,completed,85,95,100,,46,43,-20.1,-26.1,524.61,404.01,681.21,,
female,group A,some high school,standard,none,71,83,77,,80,90,13.9,20.9,290.51,193.21,436.81,,
male,group A,bachelor's degree,standard,none,66,64,62,,85,95,18.9,25.9,489.51,357.21,670.81,,
female,group B,associate's degree,standard,none,80,86,83,,71,83,4.9,13.9,68.11,24.01,193.21,,
male,group C,associate's degree,standard,completed,87,100,95,,66,64,-0.1,-5.1,0.51,0.01,26.01,,
male,group C,master's degree,free/reduced,none,79,81,71,,80,86,13.9,16.9,234.91,193.21,285.61,,
female,group E,some high school,free/reduced,none,38,49,45,,87,100,20.9,30.9,645.81,436.81,954.81,,
female,group A,some high school,free/reduced,none,38,43,43,,79,81,12.9,11.9,153.51,166.41,141.61,,
female,group E,some college,standard,none,67,76,75,,38,49,-28.1,-20.1,564.81,789.61,404.01,,
female,group E,bachelor's degree,standard,none,64,73,70,,38,43,-28.1,-26.1,733.41,789.61,681.21,,
female,group C,associate's degree,free/reduced,none,57,78,67,,67,76,0.9,6.9,6.21,0.81,47.61,,
female,group D,high school,standard,none,62,64,64,,64,73,-2.1,3.9,-8.19,4.41,15.21,,
male,group D,master's degree,standard,none,73,70,75,,57,78,-9.1,8.9,-80.99,82.81,79.21,,
male,group E,some high school,free/reduced,completed,73,67,59,,62,64,-4.1,-5.1,20.91,16.81,26.01,,
female,group D,some college,standard,none,77,68,77,,73,70,6.9,0.9,6.21,47.61,0.81,,
male,group E,some college,standard,none,76,67,67,,73,67,6.9,-2.1,-14.49,47.61,4.41,,
male,group C,associate's degree,standard,completed,57,54,56,,77,68,10.9,-1.1,-11.99,118.81,1.21,,
female,group C,some high school,standard,completed,65,74,77,,76,67,9.9,-2.1,-20.79,98.01,4.41,,
male,group A,high school,free/reduced,none,48,45,41,,57,54,-9.1,-15.1,137.41,82.81,228.01,,
female,group B,high school,free/reduced,none,50,67,63,,65,74,-1.1,4.9,-5.39,1.21,24.01,,
female,group C,associate's degree,standard,none,85,89,95,,48,45,-18.1,-24.1,436.21,327.61,580.81,,
male,group B,some high school,standard,none,74,63,57,,50,67,-16.1,-2.1,33.81,259.21,4.41,,
male,group D,some high school,standard,none,60,59,54,,85,89,18.9,19.9,376.11,357.21,396.01,,
female,group C,some high school,standard,completed,59,54,67,,74,63,7.9,-6.1,-48.19,62.41,37.21,,
male,group A,some college,standard,none,53,43,43,,60,59,-6.1,-10.1,61.61,37.21,102.01,,
female,group A,some college,free/reduced,none,49,65,55,,59,54,-7.1,-15.1,107.21,50.41,228.01,,
female,group D,high school,standard,completed,88,99,100,,53,43,-13.1,-26.1,341.91,171.61,681.21,,
female,group C,high school,standard,none,54,59,62,,49,65,-17.1,-4.1,70.11,292.41,16.81,,
female,group C,some high school,standard,none,63,73,68,,88,99,21.9,29.9,654.81,479.61,894.01,,
male,group B,associate's degree,standard,completed,65,65,63,,54,59,-12.1,-10.1,122.21,146.41,102.01,,
female,group B,associate's degree,standard,none,82,80,77,,63,73,-3.1,3.9,-12.09,9.61,15.21,,
female,group D,high school,free/reduced,completed,52,57,56,,65,65,-1.1,-4.1,4.51,1.21,16.81,,
male,group D,associate's degree,standard,completed,87,84,85,,82,80,15.9,10.9,173.31,252.81,118.81,,
female,group D,master's degree,standard,completed,70,71,74,,52,57,-14.1,-12.1,170.61,198.81,146.41,,
male,group E,some college,standard,completed,84,83,78,,87,84,20.9,14.9,311.41,436.81,222.01,,
male,group D,associate's degree,standard,none,71,66,60,,70,71,3.9,1.9,7.41,15.21,3.61,,
male,group B,some high school,standard,completed,63,67,67,,84,83,17.9,13.9,248.81,320.41,193.21,,
female,group C,bachelor's degree,free/reduced,completed,51,72,79,,71,66,4.9,-3.1,-15.19,24.01,9.61,,
male,group E,high school,standard,none,84,73,69,,63,67,-3.1,-2.1,6.51,9.61,4.41,,
male,group C,bachelor's degree,standard,completed,71,74,68,,51,72,-15.1,2.9,-43.79,228.01,8.41,,
male,group C,associate's degree,standard,none,74,73,67,,84,73,17.9,3.9,69.81,320.41,15.21,,
male,group D,some college,standard,none,68,59,62,,71,74,4.9,4.9,24.01,24.01,24.01,,
male,group E,high school,free/reduced,completed,57,56,54,,74,73,7.9,3.9,30.81,62.41,15.21,,
female,group C,associate's degree,free/reduced,completed,82,93,93,,68,59,1.9,-10.1,-19.19,3.61,102.01,,
female,group D,high school,standard,completed,57,58,64,,57,56,-9.1,-13.1,119.21,82.81,171.61,,
female,group D,master's degree,free/reduced,completed,47,58,67,,82,93,15.9,23.9,380.01,252.81,571.21,,
female,group A,some high school,standard,completed,59,85,80,,57,58,-9.1,-11.1,101.01,82.81,123.21,,
male,group B,some college,free/reduced,none,41,39,34,,47,58,-19.1,-11.1,212.01,364.81,123.21,,
female,group C,some college,free/reduced,none,62,67,62,,59,85,-7.1,15.9,-112.89,50.41,252.81,,
male,group C,bachelor's degree,standard,none,86,83,86,,41,39,-25.1,-30.1,755.51,630.01,906.01,,
male,group C,some high school,free/reduced,none,69,71,65,,62,67,-4.1,-2.1,8.61,16.81,4.41,,
male,group A,some high school,free/reduced,none,65,59,53,,86,83,19.9,13.9,276.61,396.01,193.21,,
male,group C,some high school,free/reduced,none,68,63,54,,69,71,2.9,1.9,5.51,8.41,3.61,,
male,group C,associate's degree,free/reduced,none,64,66,59,,65,59,-1.1,-10.1,11.11,1.21,102.01,,
female,group C,high school,standard,none,61,72,70,,68,63,1.9,-6.1,-11.59,3.61,37.21,,
male,group C,high school,standard,none,61,56,55,,64,66,-2.1,-3.1,6.51,4.41,9.61,,
female,group A,some high school,free/reduced,none,47,59,50,,61,72,-5.1,2.9,-14.79,26.01,8.41,,
male,group C,some high school,standard,none,73,66,66,,61,56,-5.1,-13.1,66.81,26.01,171.61,,
male,group C,some college,free/reduced,completed,50,48,53,,47,59,-19.1,-10.1,192.91,364.81,102.01,,
male,group D,associate's degree,standard,none,75,68,64,,73,66,6.9,-3.1,-21.39,47.61,9.61,,
male,group D,associate's degree,free/reduced,none,75,66,73,,50,48,-16.1,-21.1,339.71,259.21,445.21,,
male,group C,high school,standard,none,70,56,51,,75,68,8.9,-1.1,-9.79,79.21,1.21,,
male,group D,some high school,standard,completed,89,88,82,,75,66,8.9,-3.1,-27.59,79.21,9.61,,
female,group C,some college,standard,completed,67,81,79,,70,56,3.9,-13.1,-51.09,15.21,171.61,,
female,group D,high school,standard,none,78,81,80,,89,88,22.9,18.9,432.81,524.41,357.21,,
female,group A,some high school,free/reduced,none,59,73,69,,67,81,0.9,11.9,10.71,0.81,141.61,,
female,group B,associate's degree,standard,none,73,83,76,,78,81,11.9,11.9,141.61,141.61,141.61,,
male,group A,some high school,free/reduced,none,79,82,73,,59,73,-7.1,3.9,-27.69,50.41,15.21,,
female,group C,some high school,standard,completed,67,74,77,,73,83,6.9,13.9,95.91,47.61,193.21,,
male,group D,some college,free/reduced,none,69,66,60,,79,82,12.9,12.9,166.41,166.41,166.41,,
male,group C,high school,standard,completed,86,81,80,,67,74,0.9,4.9,4.41,0.81,24.01,,
male,group B,high school,standard,none,47,46,42,,69,66,2.9,-3.1,-8.99,8.41,9.61,,
male,group B,associate's degree,standard,none,81,73,72,,86,81,19.9,11.9,236.81,396.01,141.61,,
female,group C,some college,free/reduced,completed,64,85,85,,47,46,-19.1,-23.1,441.21,364.81,533.61,,
female,group E,some college,standard,none,100,92,97,,81,73,14.9,3.9,58.11,222.01,15.21,,
female,group C,associate's degree,free/reduced,none,65,77,74,,64,85,-2.1,15.9,-33.39,4.41,252.81,,
male,group C,some college,free/reduced,none,65,58,49,,100,92,33.9,22.9,776.31,1149.21,524.41,,
female,group C,associate's degree,free/reduced,none,53,61,62,,65,77,-1.1,7.9,-8.69,1.21,62.41,,
male,group C,bachelor's degree,free/reduced,none,37,56,47,,65,58,-1.1,-11.1,12.21,1.21,123.21,,
female,group D,bachelor's degree,standard,none,79,89,89,,53,61,-13.1,-8.1,106.11,171.61,65.61,,
male,group D,associate's degree,free/reduced,none,53,54,48,,37,56,-29.1,-13.1,381.21,846.81,171.61,,
female,group E,bachelor's degree,standard,none,100,100,100,,79,89,12.9,19.9,256.71,166.41,396.01,,
male,group B,high school,standard,completed,72,65,68,,53,54,-13.1,-15.1,197.81,171.61,228.01,,
male,group C,bachelor's degree,free/reduced,none,53,58,55,,100,100,33.9,30.9,1047.51,1149.21,954.81,,
male,group B,some college,free/reduced,none,54,54,45,,72,65,5.9,-4.1,-24.19,34.81,16.81,,
female,group E,some college,standard,none,71,70,76,,53,58,-13.1,-11.1,145.41,171.61,123.21,,
female,group C,some college,free/reduced,none,77,90,91,,54,54,-12.1,-15.1,182.71,146.41,228.01,,
male,group A,bachelor's degree,standard,completed,75,58,62,,71,70,4.9,0.9,4.41,24.01,0.81,,
female,group C,some college,standard,none,84,87,91,,77,90,10.9,20.9,227.81,118.81,436.81,,
female,group D,associate's degree,free/reduced,none,26,31,38,,75,58,8.9,-11.1,-98.79,79.21,123.21,,
male,group A,high school,free/reduced,completed,72,67,65,,84,87,17.9,17.9,320.41,320.41,320.41,,
female,group A,high school,free/reduced,completed,77,88,85,,26,31,-40.1,-38.1,1527.81,1608.01,1451.61,,
male,group C,some college,standard,none,91,74,76,,72,67,5.9,-2.1,-12.39,34.81,4.41,,
female,group C,associate's degree,standard,completed,83,85,90,,77,88,10.9,18.9,206.01,118.81,357.21,,
female,group C,high school,standard,none,63,69,74,,91,74,24.9,4.9,122.01,620.01,24.01,,
female,group C,associate's degree,standard,completed,68,86,84,,83,85,16.9,15.9,268.71,285.61,252.81,,
female,group D,some high school,standard,none,59,67,61,,63,69,-3.1,-0.1,0.31,9.61,0.01,,
female,group B,associate's degree,standard,completed,90,90,91,,68,86,1.9,16.9,32.11,3.61,285.61,,
female,group D,bachelor's degree,standard,completed,71,76,83,,59,67,-7.1,-2.1,14.91,50.41,4.41,,
male,group E,bachelor's degree,standard,completed,76,62,66,,90,90,23.9,20.9,499.51,571.21,436.81,,
male,group D,associate's degree,standard,none,80,68,72,,71,76,4.9,6.9,33.81,24.01,47.61,,
female,group D,master's degree,standard,none,55,64,70,,76,62,9.9,-7.1,-70.29,98.01,50.41,,
male,group E,associate's degree,standard,none,76,71,67,,80,68,13.9,-1.1,-15.29,193.21,1.21,,
male,group B,high school,standard,completed,73,71,68,,55,64,-11.1,-5.1,56.61,123.21,26.01,,
female,group D,associate's degree,free/reduced,none,52,59,56,,76,71,9.9,1.9,18.81,98.01,3.61,,
male,group C,some college,free/reduced,none,68,68,61,,73,71,6.9,1.9,13.11,47.61,3.61,,
male,group A,high school,standard,none,59,52,46,,52,59,-14.1,-10.1,142.41,198.81,102.01,,
female,group B,associate's degree,standard,none,49,52,54,,68,68,1.9,-1.1,-2.09,3.61,1.21,,
male,group C,high school,standard,none,70,74,71,,59,52,-7.1,-17.1,121.41,50.41,292.41,,
male,group D,some college,free/reduced,none,61,47,56,,49,52,-17.1,-17.1,292.41,292.41,292.41,,
female,group C,associate's degree,free/reduced,none,60,75,74,,70,74,3.9,4.9,19.11,15.21,24.01,,
male,group B,some high school,standard,completed,64,53,57,,61,47,-5.1,-22.1,112.71,26.01,488.41,,
male,group A,associate's degree,free/reduced,completed,79,82,82,,60,75,-6.1,5.9,-35.99,37.21,34.81,,
female,group A,associate's degree,free/reduced,none,65,85,76,,64,53,-2.1,-16.1,33.81,4.41,259.21,,
female,group C,associate's degree,standard,none,64,64,70,,79,82,12.9,12.9,166.41,166.41,166.41,,
female,group C,some college,standard,none,83,83,90,,65,85,-1.1,15.9,-17.49,1.21,252.81,,
female,group C,bachelor's degree,standard,none,81,88,90,,64,64,-2.1,-5.1,10.71,4.41,26.01,,
female,group B,high school,standard,none,54,64,68,,83,83,16.9,13.9,234.91,285.61,193.21,,
male,group D,high school,standard,completed,68,64,66,,81,88,14.9,18.9,281.61,222.01,357.21,,
female,group C,some college,standard,none,54,48,52,,54,64,-12.1,-5.1,61.71,146.41,26.01,,
female,group D,some college,free/reduced,completed,59,78,76,,68,64,1.9,-5.1,-9.69,3.61,26.01,,
female,group B,some high school,standard,none,66,69,68,,54,48,-12.1,-21.1,255.31,146.41,445.21,,
male,group E,some college,standard,none,76,71,72,,59,78,-7.1,8.9,-63.19,50.41,79.21,,
female,group D,master's degree,standard,none,74,79,82,,66,69,-0.1,-0.1,0.01,0.01,0.01,,
female,group B,associate's degree,standard,completed,94,87,92,,76,71,9.9,1.9,18.81,98.01,3.61,,
male,group C,some college,free/reduced,none,63,61,54,,74,79,7.9,9.9,78.21,62.41,98.01,,
female,group E,associate's degree,standard,completed,95,89,92,,94,87,27.9,17.9,499.41,778.41,320.41,,
female,group D,master's degree,free/reduced,none,40,59,54,,63,61,-3.1,-8.1,25.11,9.61,65.61,,
female,group B,some high school,standard,none,82,82,80,,95,89,28.9,19.9,575.11,835.21,396.01,,
male,group A,high school,standard,none,68,70,66,,40,59,-26.1,-10.1,263.61,681.21,102.01,,
male,group B,bachelor's degree,free/reduced,none,55,59,54,,82,82,15.9,12.9,205.11,252.81,166.41,,
male,group C,master's degree,standard,none,79,78,77,,68,70,1.9,0.9,1.71,3.61,0.81,,
female,group C,bachelor's degree,standard,none,86,92,87,,55,59,-11.1,-10.1,112.11,123.21,102.01,,
male,group D,some college,standard,none,76,71,73,,79,78,12.9,8.9,114.81,166.41,79.21,,
male,group A,some high school,standard,none,64,50,43,,86,92,19.9,22.9,455.71,396.01,524.41,,
male,group D,some high school,free/reduced,none,62,49,52,,76,71,9.9,1.9,18.81,98.01,3.61,,
female,group B,some high school,standard,completed,54,61,62,,64,50,-2.1,-19.1,40.11,4.41,364.81,,
female,group B,master's degree,free/reduced,completed,77,97,94,,62,49,-4.1,-20.1,82.41,16.81,404.01,,
female,group C,some high school,standard,completed,76,87,85,,54,61,-12.1,-8.1,98.01,146.41,65.61,,
female,group D,some college,standard,none,74,89,84,,77,97,10.9,27.9,304.11,118.81,778.41,,
female,group E,some college,standard,completed,66,74,73,,76,87,9.9,17.9,177.21,98.01,320.41,,
female,group D,some high school,standard,completed,66,78,78,,74,89,7.9,19.9,157.21,62.41,396.01,,
female,group B,high school,free/reduced,completed,67,78,79,,66,74,-0.1,4.9,-0.49,0.01,24.01,,
male,group D,some college,standard,none,71,49,52,,66,78,-0.1,8.9,-0.89,0.01,79.21,,
female,group C,associate's degree,standard,none,91,86,84,,67,78,0.9,8.9,8.01,0.81,79.21,,
male,group D,bachelor's degree,standard,none,69,58,57,,71,49,4.9,-20.1,-98.49,24.01,404.01,,
male,group C,master's degree,free/reduced,none,54,59,50,,91,86,24.9,16.9,420.81,620.01,285.61,,
male,group C,high school,standard,completed,53,52,49,,69,58,2.9,-11.1,-32.19,8.41,123.21,,
male,group E,some college,standard,none,68,60,59,,54,59,-12.1,-10.1,122.21,146.41,102.01,,
male,group C,some high school,free/reduced,completed,56,61,60,,53,52,-13.1,-17.1,224.01,171.61,292.41,,
female,group C,high school,free/reduced,none,36,53,43,,68,60,1.9,-9.1,-17.29,3.61,82.81,,
female,group D,bachelor's degree,free/reduced,none,29,41,47,,56,61,-10.1,-8.1,81.81,102.01,65.61,,
female,group C,associate's degree,standard,none,62,74,70,,36,53,-30.1,-16.1,484.61,906.01,259.21,,
female,group C,associate's degree,standard,completed,68,67,73,,29,41,-37.1,-28.1,1042.51,1376.41,789.61,,
female,group C,some high school,standard,none,47,54,53,,62,74,-4.1,4.9,-20.09,16.81,24.01,,
male,group E,associate's degree,standard,completed,62,61,58,,68,67,1.9,-2.1,-3.99,3.61,4.41,,
female,group E,associate's degree,standard,completed,79,88,94,,47,54,-19.1,-15.1,288.41,364.81,228.01,,
male,group B,high school,standard,completed,73,69,68,,62,61,-4.1,-8.1,33.21,16.81,65.61,,
female,group C,bachelor's degree,free/reduced,completed,66,83,83,,79,88,12.9,18.9,243.81,166.41,357.21,,
male,group C,associate's degree,standard,completed,51,60,58,,73,69,6.9,-0.1,-0.69,47.61,0.01,,
female,group D,high school,standard,none,51,66,62,,66,83,-0.1,13.9,-1.39,0.01,193.21,,
male,group E,bachelor's degree,standard,completed,85,66,71,,51,60,-15.1,-9.1,137.41,228.01,82.81,,
male,group A,associate's degree,standard,completed,97,92,86,,51,66,-15.1,-3.1,46.81,228.01,9.61,,
male,group C,high school,standard,completed,75,69,68,,85,66,18.9,-3.1,-58.59,357.21,9.61,,
male,group D,associate's degree,free/reduced,completed,79,82,80,,97,92,30.9,22.9,707.61,954.81,524.41,,
female,group C,associate's degree,standard,none,81,77,79,,75,69,8.9,-0.1,-0.89,79.21,0.01,,
female,group D,associate's degree,standard,none,82,95,89,,79,82,12.9,12.9,166.41,166.41,166.41,,
female,group D,master's degree,standard,none,64,63,66,,81,77,14.9,7.9,117.71,222.01,62.41,,
male,group E,some high school,free/reduced,completed,78,83,80,,82,95,15.9,25.9,411.81,252.81,670.81,,
female,group A,some high school,standard,completed,92,100,97,,64,63,-2.1,-6.1,12.81,4.41,37.21,,
male,group C,high school,standard,completed,72,67,64,,78,83,11.9,13.9,165.41,141.61,193.21,,
female,group C,high school,free/reduced,none,62,67,64,,92,100,25.9,30.9,800.31,670.81,954.81,,
male,group C,master's degree,standard,none,79,72,69,,72,67,5.9,-2.1,-12.39,34.81,4.41,,
male,group C,some high school,free/reduced,none,79,76,65,,62,67,-4.1,-2.1,8.61,16.81,4.41,,
